DEPARTMENT,UACS_DPT_DSC,AGENCY,UACS_AGY_DSC,PREXC_PROG,PREXC_SUBPROG,PAP,Budget Document,PS,MOOE,CO,TOTAL,source_sheet
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100001,General Administration and Support,NEP 2026,13000860000.0,8832490000.0,0.0,21833350000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,1000,100000100002,Administration of Personnel Benefits,NEP 2026,5527234000.0,0.0,0.0,5527234000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100001,Physical Fitness and School Sports,NEP 2026,8341000.0,473250000.0,0.0,481591000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100002,Development and Management of Bilateral and Multilateral Education Projects,NEP 2026,21765000.0,11491000.0,0.0,33256000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100003,Management and Administration of Learning Resources,NEP 2026,51772000.0,12197000.0,0.0,63969000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100004,Planning and Management Information Systems,NEP 2026,122422000.0,32671000.0,0.0,155093000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100005,Education Information and Communication Services,NEP 2026,23321000.0,27561000.0,9732000.0,60614000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100006,Learner Support Programs,NEP 2026,2637581000.0,337139000.0,0.0,2974720000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100007,Building Partnerships and Linkages Program,NEP 2026,11532000.0,89876000.0,0.0,101408000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100008,Legal Services and Development of Education-Related Laws and Rules,NEP 2026,24715000.0,32885000.0,0.0,57600000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100009,Child Protection Program,NEP 2026,0.0,44998000.0,0.0,44998000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100010,Disaster Preparedness and Response Program,NEP 2026,12831000.0,652491000.0,0.0,665322000.0,2026 DepEd - NEP
07,Department of Education (DepEd),001,Office of the Secretary,2000,200000100011,Organizational and Professional Development for Non-Teaching Personnel,NEP 2026,188400000.0,107950000.0,0.0,296350000.0,2026 DepEd - NEP
